keep_athlete_id,merge_athlete_id,notes
15935,46805242,"Rebecca Witinok- Huber - PTO account 'Rebecca Witinok-Huber' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
15269,382297336,"Rainer Müller-Hörner - PTO account 'Rainer Mueller-Horner' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
103566,2104525958,"Alexander Frühwirth - PTO account 'Alexander Fruehwirth' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
21177,1463617925,"Katja Wollschlager - PTO account 'Katja Wollschlaeger' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
169169,738702759,"Robert Schönberger - PTO account 'Robert Schoenberger' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
10182,150038636,"Øyvind Johannessen - PTO account 'Oyvind Johannessen' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
7824,1816469645,"Mathieu O'Halloran - PTO account 'Mathieu Ohalloran' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
184390,1984835320,"Morgan Björkqvist - PTO account 'Morgan Bjoerkqvist' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
10838,834636130,"Mary-Ellen Powers - PTO account 'Maryellen Powers' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
66834,2089810055,"Michael Debruijn - PTO account 'Michael De Bruijn' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
139659,399547817,"Nathalie Safsten - PTO account 'Nathalie Saefsten' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
56999,951439164,"Sylvia Gehnböck - PTO account 'Sylvia Gehnboeck' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
102709,479155965,"Fredrik Backson - PTO account 'Fredrik Baeckson' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
55839,1417996817,"Michael Göhner - PTO account 'Michael Goehner' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
5663,1656010736,"Andrea D'aquino - PTO account 'Andrea Daquino' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
15525,789258714,"Marcus Büchler - PTO account 'Marcus Buechler' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
72784,351766879,"Gabriel Sandör - PTO account 'Gabriel Sandoer' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
18417,737773807,"Stefan Zachäus - PTO account 'Stefan Zachaeus' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
189394,890435967,"Hannah Rössler - PTO account 'Hannah Roessler' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
149809,1115666154,"Fabian Schönke - PTO account 'Fabian Schoenke' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
66076,1683954657,"Daniel Muller - PTO account 'Daniel Mueller' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
51532,397856862,"Antoine Jolicoeur-Desroches - PTO account 'Antoine Jolicoeur Desroches' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
114878,1270381647,"Peter Müllner - PTO account 'Peter Muellner' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
133106,461806483,"Magnus Männer - PTO account 'Magnus Maenner' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
10475,1391210511,"Francisco Fernandez-Cortes - PTO account 'Francisco Fernandez Cortes' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
7205,901927059,"Sarah Schutz - PTO account 'Sarah Schuetz' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
149440,1276877913,"Janne Büttel - PTO account 'Janne Buettel' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
28498,1026013385,"Tom Vanderhoogerstraete - PTO account 'Tom Van der Hoogerstraete' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
10403,74004321,"Eva Nystrom - PTO account 'Eva Nystroem' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
6128,2123628891,"Ryan O'Neill - PTO account 'Ryan Oneill' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
7275,1874044206,"Diane Lüthi - PTO account 'Diane Luethi' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
91887,1306382661,"Oskar Djärv - PTO account 'Oskar Djaerv' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
98751,1798426170,"Julianna Batizy-Morley - PTO account 'Julianna Batizy Morley' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
10226,1041522180,"Ute Mückel - PTO account 'Ute Mueckel' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
98134,1372883732,"Daniel Nou - PTO account 'Daniel Noeu' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
92587,622649242,"Anatole Giraud Telme - PTO account 'Anatole Giraud - Telme' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
58864,87216025,"Emile Blondel Hermant - PTO account 'Emile Blondel-Hermant' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
174910,1624298349,"Lora Žuliček Dumančić - PTO account 'Lora Zulicek-Dumancic' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
85278,1375887366,"Harrison Rolls King - PTO account 'Harrison Rolls-King' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
166939,1649918816,"Łukasz Lis - PTO account 'Lukasz Lis' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
17200,1769662431,"Jens Petersen Bach - PTO account 'Jens Petersen-Bach' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
97832,1072534365,"Simon Jørn Hansen - PTO account 'Simon Joern Hansen' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
80371,439064840,"Chih-Hsiang Yang - PTO account 'Chih Hsiang Yang' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
57898,1593559127,"Luisa Iogna-Prat - PTO account 'Luisa Iogna Prat' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
106521,1647369440,"Kristian Broløs - PTO account 'Kristian Broloes' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
125002,695656754,"Ben Fäh - PTO account 'Ben Faeh' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
17195,135324869,"Rasmus Petræus - PTO account 'Rasmus Petraeus' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
104155,394143182,"Chia-Hao Chang - PTO account 'Chia Hao Chang' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
66896,2076859580,"Jorn Fuhring - PTO account 'Joern Fuehring' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
12703,885048093,"Mao-Yung Yang - PTO account 'Mao Yung Yang' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
10978,850737288,"Young-Hwan Oh - PTO account 'Young Hwan Oh' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
52197,2090018714,"Karol-Ann Roy - PTO account 'Karol Ann Roy' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
6531,442314088,"Seok Joo Han - PTO account 'Seok-Joo Han' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
105268,825918106,"Alena Schuß - PTO account 'Alena Schuss' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
42461,1460375929,"Bee Oh Kim - PTO account 'Bee-Oh Kim' is the same athlete, auto-linked on transliteration/accent variant, PTO yob missing. No overlap race for the auto matcher."
164714,1805395609,"Pedro Leal De Gouveia - PTO account 'Pedro Leal' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
122515,616108146,"Lauren Parker H1 - PTO account 'Lauren Parker' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
102855,993738876,"João Teixeira Alvares - PTO account 'Joao Teixeira Alvares Neto' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
162320,31541099,"Vinicius Avi Santana - PTO account 'Vinicius Santana' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
115421,1878585040,"Jose Luis Cano Villanueva - PTO account 'Jose Luis Villanueva' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
5306,326149999,"Ivan Raña Fuentes - PTO account 'Ivan Rana' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
32606,1249317032,"Palmira Celeste De Guadalupe Alvarez Elizalde - PTO account 'Palmira Alvarez' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
77316,1662417216,"Jose Isaac Valencia Villaverde - PTO account 'Jose Valencia Villaverde' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
47363,1908929702,"Maria Teresa Martinez Bautista - PTO account 'Teresa Martinez Bautista' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
119672,110892103,"Nathan F. Cohen - PTO account 'Nathan Cohen' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
21018,1851266731,"Daniel Silva - PTO account 'Daniel Da Silva' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
79056,694344953,"Marchelo Kunzelmann - PTO account 'Marchelo Kunzelmann Loza' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
33144,1451091414,"Jorge Alberto Vazquez Arellano - PTO account 'Jorge Vazquez' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
165493,1419607873,"Marcelo Andres Delgado Landázuri - PTO account 'Marcelo Delgado Landazuri' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
5644,1838037600,"Felipe Van de Wyngard Véliz - PTO account 'Felipe Van de Wyngard' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
5349,1998339985,"Juraci Moreira - PTO account 'Juraci Moreira Jr.' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
40046,1121913523,"Luis Miguel Velasquez Ramos - PTO account 'Luis Miguel Velasquez' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
15371,659221779,"Gonzalo Raul Tellechea - PTO account 'Gonzalo Tellechea' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
7055,523726095,"Alejandro Santamaria Perez - PTO account 'Alejandro Santamaria' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
165193,1186451988,"José Eduardo Castaño López - PTO account 'Jose Eduardo Castano' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
81883,731984817,"Ana Filipa Santos - PTO account 'Filipa Santos' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
61566,1231975248,"Ana Lopez De San Roman Blanco - PTO account 'Ana Lopez De San Roman' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
18186,1420804309,"Lars Ole Thomsen - PTO account 'Lars Thomsen' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
45190,1125403208,"Enric Gussinyer Coma - PTO account 'Enric Gussinyer' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
47828,1438533876,"Michelle Derron - PTO account 'Anna Michelle Derron' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
53567,627203220,"Mihai Alin Baractaru - PTO account 'Mihai Baractaru' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
120156,1026993775,"Kaja Bergwitz-Larsen - PTO account 'Kaja Wright Bergwitz-Larsen' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
72339,523724873,"Pedro Miguel Reig Jover - PTO account 'Pedro Miguel Reig' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
131670,1747976010,"Jens Emil Sloth Nielsen - PTO account 'Jens Emil Nielsen' is the same athlete, auto-linked on added/removed name (token subset), PTO yob missing. No overlap race for the auto matcher."
96742,2004167967,"Alex Yee - GBR (yob 1998). FGP row 'Alexander Yee' (licence A85547) is the same athlete; auto-matcher missed 'Alex' vs 'Alexander' (not a fold-key or token-subset match). Keep the DB name."
136849,307337336,"Valentin Hofmann - Bundesliga row 'Valentin Hoffmann' (Germany) is the same athlete (minor spelling difference), auto-matcher held it as a candidate. Keep the DB name."
132458,508896204,"Vanessa Possberg - Bundesliga row 'Vanesa Possberg' (Switzerland) is the same athlete (minor spelling difference), auto-matcher held it as a candidate. Keep the DB name."
182731,17367405,"Jonathan Trebst - Bundesliga row 'Johnathan Trebst' (Germany) is the same athlete (minor spelling difference), auto-matcher held it as a candidate. Keep the DB name."
170815,2119532353,"Amury Dietrich - Bundesliga row 'Amaury Dietrich' (France) is the same athlete (minor spelling difference), auto-matcher held it as a candidate. Keep the DB name."
725588694,1213466288,"Callum Steadman - Bundesliga row 'Callum Stedman' (Great Britain) is the same athlete (minor spelling difference), auto-matcher held it as a candidate. Keep the DB name."
135049,1361500735,"Mitch Kolkman - Bundesliga row 'Mitch Kolkmann' (Netherlands) is the same athlete (minor spelling difference), auto-matcher held it as a candidate. Keep the DB name."
168921,1000456497,"Isabel Altendorfer - Bundesliga row 'Isabel Altendorf' (Germany) is the same athlete (minor spelling difference), auto-matcher held it as a candidate. Keep the DB name."
131511,523603861,"Robin Dreijling - Bundesliga row 'Robin Dreyling' (Netherlands) is the same athlete (minor spelling difference), auto-matcher held it as a candidate. Keep the DB name."
165596,1978608824,"Bradley Course - Bundesliga row 'Brad Course' (Australia) is the same athlete (minor spelling difference), auto-matcher held it as a candidate. Keep the DB name."
136171,643755481,"Bethany Cook - Bundesliga row 'Beth Cook' (Great Britain) is the same athlete (minor spelling difference), auto-matcher held it as a candidate. Keep the DB name."
71738,1710841620,"Gianluca Pozzatti - FGP row 'Gianluca Pozzati' (licence B77963, no yob) is the same athlete (minor spelling difference). Keep the DB name."
135674,1636105818,"Niels Van Lanen - FGP row 'Niels Van Lannen' (licence C33301, no yob) is the same athlete (minor spelling difference). Keep the DB name."
186806,475786740,"Leonardo Allegri - FGP row 'Leonardo Allegr' (licence C57904, no yob) is the same athlete (minor spelling difference). Keep the DB name."
93997,1662706624,"Raquel Solis - FGP row 'Raquell Solis' (licence C56070, no yob) is the same athlete (minor spelling difference). Keep the DB name."
94278,1078037677,"Maximilian Sperl - FGP row 'Maximilien Sperl' (licence C33926, no yob) is the same athlete (minor spelling difference). Keep the DB name."
56557,1691007349,"Jeanne Lehair - same athlete (b.1996) under two nationalities: WT profile 56557 (Luxembourg, 91 races) is canonical; 1691007349 is the PTO/FGP profile under France (she switched FRA->LUX in 2023). Auto-matchers prefilter on exact nationality so FRA vs LUX never linked. Keep the WT/Luxembourg profile."
